city,date,demand_mean,demand_min,demand_max,demand_sum,demand_std,temperature_mean,temperature_min,temperature_max,temperature_std,humidity_mean,humidity_min,humidity_max,windSpeed_mean,windSpeed_max
dallas,2018-03-09,11060.56,11060.56,11060.56,11060.56,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-03-10,10733.06,10733.06,10733.06,10733.06,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-03-14,11529.65,11529.65,11529.65,11529.65,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-03-15,11399.94,11399.94,11399.94,11399.94,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-03-16,10783.53,10783.53,10783.53,10783.53,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-03-18,10588.89,10588.89,10588.89,10588.89,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-03-19,10506.77,10506.77,10506.77,10506.77,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-03-21,12803.43,12803.43,12803.43,12803.43,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-03-22,10296.796666666667,9007.21,11888.37,30890.39,1464.126940034004,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-03-23,8432.5,8432.5,8432.5,8432.5,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-03-24,13458.14,13458.14,13458.14,13458.14,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-03-25,10475.44,9049.2,11901.68,20950.88,2017.0079511990027,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-03-27,10604.615,9161.5,12047.73,21209.23,2040.8728050640486,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-03-28,11357.46,11357.46,11357.46,11357.46,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-03-29,11347.22,11347.22,11347.22,11347.22,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-03-31,10794.535,10213.37,11375.7,21589.07,821.8914249765604,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-01,8026.14,7850.25,8202.03,16052.28,248.74602348580416,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-03,11948.22,11948.22,11948.22,11948.22,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-05,9422.725,8775.23,11149.01,37690.9,1152.0037269181614,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-07,14412.51,14412.51,14412.51,14412.51,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-10,8264.55,8264.55,8264.55,8264.55,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-11,8560.52,8560.52,8560.52,8560.52,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-12,10966.63,10966.63,10966.63,10966.63,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-13,11784.345000000001,9288.94,14279.75,23568.690000000002,3529.0355946136324,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-14,10309.09,10309.09,10309.09,10309.09,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-15,9676.59,9111.21,10241.97,19353.18,799.5680638945,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-16,11807.11,11369.42,12494.62,47228.44,495.57228783162014,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-17,11384.82,11384.82,11384.82,11384.82,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-19,10858.31,10858.31,10858.31,10858.31,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-23,11416.76,11416.76,11416.76,11416.76,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-24,13910.83,13910.83,13910.83,13910.83,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-27,9856.35,9856.35,9856.35,9856.35,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-29,10154.230000000001,9344.04,11561.93,30462.690000000002,1223.7330849086325,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-04-30,12297.279999999999,11075.66,13576.78,36891.84,1251.5641751025003,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-02,13770.31,10103.54,15844.65,41310.93,3184.6445620665427,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-03,13744.8,13744.8,13744.8,13744.8,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-05,8296.15,8296.15,8296.15,8296.15,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-06,12531.87,12531.87,12531.87,12531.87,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-09,12092.555,10057.2,14127.91,24185.11,2878.42664524389,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-10,10977.535,9995.48,11959.59,21955.07,1388.8354999963103,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-12,12755.07,10427.82,15082.32,25510.14,3291.2285130327855,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-13,16473.23,15698.23,17248.23,32946.46,1096.0155108391486,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-14,17703.00333333333,16659.89,19010.27,53109.009999999995,1197.2486265322393,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-15,15932.53,15932.53,15932.53,15932.53,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-17,19977.6,19977.6,19977.6,19977.6,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-20,11056.12,11056.12,11056.12,11056.12,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-21,9270.59,9270.59,9270.59,9270.59,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-22,13480.805,12247.34,14714.27,26961.61,1744.3829317125299,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-23,20160.71,20160.71,20160.71,20160.71,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-26,20636.1,20636.1,20636.1,20636.1,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-27,20485.6,20485.6,20485.6,20485.6,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-28,12592.04,12592.04,12592.04,12592.04,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-30,12863.55,12863.55,12863.55,12863.55,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-05-31,21039.67,21039.67,21039.67,21039.67,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-01,16868.066666666666,13282.81,22962.91,50604.2,5305.61993838923,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-02,22502.48,21864.19,23140.77,45004.96,902.678374727124,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-03,12534.61,12534.61,12534.61,12534.61,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-04,16025.68,16025.68,16025.68,16025.68,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-05,21674.45,21674.45,21674.45,21674.45,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-06,13019.47,13019.47,13019.47,13019.47,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-07,13903.68,13903.68,13903.68,13903.68,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-09,15365.455,14378.44,16352.47,30730.91,1395.8499992656796,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-10,18162.059999999998,17682.16,18641.96,36324.119999999995,678.6810885828465,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-11,13256.72,13256.72,13256.72,13256.72,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-12,17020.895,16251.13,17790.66,34041.79,1088.6121028401253,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-13,21467.29,21119.78,21814.8,42934.58,491.45335506027584,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-15,13839.38,13839.38,13839.38,13839.38,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-16,13474.35,13474.35,13474.35,13474.35,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-17,19275.123333333333,18379.44,20528.91,57825.369999999995,1118.5856329460585,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-18,19614.57,19614.57,19614.57,19614.57,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
